Episode,Timestep,Reward
0,20,-170
1,20,-140
2,20,-155
3,20,-110
4,20,-125
5,20,-110
6,20,-125
7,20,-155
8,20,-170
9,20,-155
10,20,-155
11,20,-95
12,20,-140
13,20,-140
14,20,-170
15,20,-170
16,20,-155
17,20,-95
18,20,-110
19,20,-155
20,20,-155
21,20,-155
22,20,-110
23,20,-185
24,20,-170
25,20,-140
26,20,-140
27,20,-200
28,20,-200
29,20,-140
30,20,-140
31,20,-125
32,20,-140
33,20,-155
34,20,-140
35,20,-170
36,20,-155
37,20,-185
38,20,-95
39,20,-125
40,20,-155
41,20,-155
42,20,-155
43,20,-125
44,20,-170
45,20,-170
46,20,-140
47,20,-125
48,20,-155
49,20,-140
50,20,-155
51,20,-140
52,20,-125
53,20,-170
54,20,-155
55,20,-185
56,20,-185
57,20,-200
58,20,-140
59,20,-125
60,20,-155
61,20,-140
62,20,-155
63,20,-140
64,20,-140
65,20,-125
66,20,-140
67,20,-125
68,20,-140
69,20,-170
70,20,-110
71,20,-140
72,20,-140
73,20,-170
74,20,-140
75,20,-155
76,20,-200
77,20,-155
78,20,-125
79,20,-140
80,20,-140
81,20,-125
82,20,-170
83,20,-140
84,20,-110
85,20,-185
86,20,-155
87,20,-95
88,20,-140
89,20,-155
90,20,-155
91,20,-125
92,20,-155
93,20,-170
94,20,-170
95,20,-140
96,20,-155
97,20,-140
98,20,-140
99,20,-140
100,20,-140
101,20,-110
102,20,-155
103,20,-170
104,20,-95
105,20,-170
106,20,-110
107,20,-155
108,20,-170
109,20,-155
110,20,-155
111,20,-155
112,20,-155
113,20,-170
114,20,-140
115,20,-155
116,20,-110
117,20,-155
118,20,-140
119,20,-170
120,20,-140
121,20,-140
122,20,-110
123,20,-140
124,20,-155
125,20,-170
126,20,-170
127,20,-155
128,20,-125
129,20,-170
130,20,-125
131,20,-65
132,20,-185
133,20,-155
134,20,-140
135,20,-185
136,20,-170
137,20,-185
138,20,-140
139,20,-125
140,20,-125
141,20,-110
142,20,-140
143,20,-80
144,20,-185
145,20,-65
146,20,-125
147,20,-170
148,20,-155
149,20,-125
150,20,-170
151,20,-170
152,20,-200
153,20,-170
154,20,-140
155,20,-185
156,20,-140
157,20,-125
158,20,-140
159,20,-110
160,20,-185
161,20,-140
162,20,-125
163,20,-170
164,20,-185
165,20,-170
166,20,-140
167,20,-125
168,20,-140
169,20,-155
170,20,-155
171,20,-110
172,20,-140
173,20,-110
174,20,-110
175,20,-170
176,20,-125
177,20,-170
178,20,-140
179,20,-155
180,20,-155
181,20,-125
182,20,-155
183,20,-140
184,20,-140
185,20,-140
186,20,-110
187,20,-155
188,20,-110
189,20,-80
190,20,-125
191,20,-140
192,20,-125
193,20,-140
194,20,-185
195,20,-170
196,20,-155
197,20,-185
198,20,-140
199,20,-110
200,18,-35
201,20,-200
202,20,-170
203,20,-140
