Tire_ID,age_category,check_point_zero
KH6427A,0-399,90.0
STX04,0-399,120.0
STX03,0-399,120.0
STO05,0-399,120.0
JH1819W,0-399,150.0
DC4467,0-399,150.0
JH1792W,0-399,150.0
0216HT24,0-399,150.0
JH1821W,0-399,150.0
JH1820W,0-399,150.0
DC4452,0-399,150.0
JH1794W,0-399,150.0
914RC19,0-399,180.0
KR9541,0-399,180.0
KR10472,0-399,180.0
AM299,0-399,180.0
KR8573,0-399,180.0
JH1811W,0-399,180.0
KR8578,0-399,180.0
KH6234W,0-399,180.0
0216HT31,0-399,180.0
JH1790W,0-399,180.0
KR9796,0-399,180.0
0416A104,0-399,180.0
KR10447,0-399,180.0
KR9521,0-399,180.0
KR9638,0-399,180.0
CT46,0-399,180.0
KRA8790,0-399,180.0
KR8841,0-399,180.0
0319KB202,0-399,180.0
AM339,0-399,180.0
JH1787W,0-399,180.0
AM627,0-399,210.0
AM626,0-399,210.0
AM622,0-399,210.0
AM621,0-399,210.0
AM340,0-399,210.0
KR8732,0-399,210.0
KR10378,0-399,210.0
AM363,0-399,210.0
AM378,0-399,210.0
KR8589,0-399,210.0
AM384,0-399,210.0
KR8785,0-399,210.0
MK6916,0-399,210.0
AM360,0-399,210.0
KR8819,0-399,210.0
CK216,0-399,210.0
DC4968C,0-399,210.0
DC4466,0-399,210.0
KR9561,0-399,210.0
KH5727A,0-399,210.0
CK202,0-399,210.0
KR10114,0-399,210.0
KR8811,0-399,210.0
AM664,0-399,210.0
AM650,0-399,210.0
AM649,0-399,210.0
KR8801,0-399,210.0
AM673,0-399,210.0
JH1815W,0-399,210.0
KR9790,0-399,210.0
DC4969C,0-399,210.0
KR10369,0-399,210.0
AM652,0-399,210.0
KR10118,0-399,210.0
0818KB09,0-399,210.0
KR8845,0-399,210.0
KR8847,0-399,210.0
JH1814W,0-399,210.0
KR8858,0-399,210.0
KR9045X,0-399,210.0
0714T41,0-399,210.0
JH1822W,0-399,210.0
KH6186W,0-399,210.0
MK1611A,0-399,210.0
JH1791W,0-399,210.0
KR10452,0-399,210.0
1216H03,0-399,210.0
MK1692A,0-399,210.0
KR8857,0-399,210.0
JH1809W,0-399,210.0
KR9538X,0-399,210.0
AM5030A,0-399,210.0
AM279,0-399,210.0
AM5167WB,0-399,210.0
AM620,0-399,210.0
KR8834,0-399,210.0
